Index,Time,Time_Diff,Output
234,0.912662,0.001498,0.077306
235,0.914110,0.001448,0.115364
236,0.915771,0.001661,0.091800
237,0.917265,0.001494,0.096617
238,0.918791,0.001526,0.111884
239,0.920227,0.001436,0.126992
240,0.921611,0.001384,0.175700
241,0.923078,0.001467,0.155383
242,0.924657,0.001579,0.093486
243,0.926188,0.001531,0.071896
244,0.927684,0.001496,0.057146
245,0.929086,0.001402,0.122266
246,0.930614,0.001528,0.177960
247,0.932139,0.001525,0.189120
248,0.933698,0.001559,0.269542
249,0.935325,0.001627,0.300776
250,0.936832,0.001507,0.251589
251,0.938407,0.001575,0.127633
252,0.941112,0.002705,0.240260
253,0.942672,0.001560,0.194669
254,0.944189,0.001517,0.239417
255,0.945832,0.001643,0.324083
256,0.947550,0.001718,0.208054
257,0.949082,0.001532,0.377437
258,0.950575,0.001493,0.575419
259,0.952101,0.001526,1.087672
260,0.953687,0.001586,1.673370
261,0.955360,0.001673,1.973176
262,0.956911,0.001551,2.184114
263,0.958492,0.001581,2.381641
264,0.959945,0.001453,2.570779
265,0.961554,0.001609,2.738133
266,0.963058,0.001504,2.812937
267,0.964529,0.001471,2.873286
268,0.965897,0.001368,2.896665
269,0.967388,0.001491,2.908040
270,0.968861,0.001473,2.896032
271,0.970385,0.001524,2.903837
272,0.971901,0.001516,2.913731
273,0.973393,0.001492,2.928297
274,0.974851,0.001458,2.937889
275,0.977419,0.002568,2.976127
276,0.978990,0.001571,3.001146
277,0.980702,0.001712,3.008279
278,0.982260,0.001558,3.007634
279,0.983712,0.001452,3.000211
280,0.985323,0.001611,2.996184
281,0.986963,0.001640,3.013178
282,0.988601,0.001638,3.008353
283,0.989999,0.001398,3.022830
284,0.992451,0.002452,3.024180
285,0.993970,0.001519,3.029318
286,0.995602,0.001632,3.029737
287,0.997137,0.001535,3.040696
288,0.998725,0.001588,3.042564
289,1.000155,0.001430,3.051695
290,1.001653,0.001498,3.053665
291,1.003103,0.001450,3.055456
292,1.004551,0.001448,3.048029
293,1.005908,0.001357,3.039438
294,1.007347,0.001439,3.031487
295,1.008800,0.001453,3.035425
296,1.010412,0.001612,3.035036
297,1.012020,0.001608,3.031303
298,1.013593,0.001573,3.027717
299,1.015147,0.001554,3.021531
300,1.016638,0.001491,3.019389
301,1.018097,0.001459,3.016706
302,1.019482,0.001385,3.006373
303,1.022099,0.002617,2.985343
304,1.023730,0.001631,2.963484
305,1.026009,0.002279,2.953848
306,1.027732,0.001723,2.929437
307,1.029228,0.001496,2.903895
308,1.030789,0.001561,2.875386
309,1.032346,0.001557,2.855632
310,1.033934,0.001588,2.759092
311,1.035499,0.001565,2.642226
312,1.037068,0.001569,2.475937
313,1.038769,0.001701,2.145602
314,1.040299,0.001530,1.990327
315,1.041758,0.001459,1.701509
316,1.043169,0.001411,1.291311
317,1.044672,0.001503,1.046374
318,1.046326,0.001654,0.738365
319,1.047926,0.001600,0.660811
320,1.049397,0.001471,0.596939
321,1.050825,0.001428,0.546690
322,1.052341,0.001516,0.549954
323,1.053778,0.001437,0.425151
324,1.055424,0.001646,0.301358
325,1.056941,0.001517,0.199512
326,1.058469,0.001528,0.161268
327,1.060006,0.001537,0.162402
328,1.061637,0.001631,0.110648
329,1.063182,0.001545,0.112806
330,1.064702,0.001520,0.101633
331,1.066287,0.001585,0.095067
332,1.067833,0.001546,0.066994
333,1.069303,0.001470,0.085912
334,1.070828,0.001525,0.070517
335,1.072365,0.001537,0.050558
336,1.073886,0.001521,0.047251
337,1.075362,0.001476,0.065981
338,1.076884,0.001522,0.101543
339,1.078373,0.001489,0.076862
340,1.079917,0.001544,0.077831
341,1.081413,0.001496,0.088845
342,1.083053,0.001640,0.065014
343,1.084669,0.001616,0.069303
344,1.086197,0.001528,0.088682
345,1.087700,0.001503,0.072890
346,1.089323,0.001623,0.081444
347,1.090923,0.001600,0.104804
348,1.092520,0.001597,0.072452
349,1.094028,0.001508,0.057808
350,1.095472,0.001444,0.035552
351,1.096992,0.001520,0.032834
352,1.098609,0.001617,0.036433
353,1.100148,0.001539,0.032564
354,1.102797,0.002649,0.021122
355,1.104380,0.001583,0.023180
356,1.105915,0.001535,-0.005017
357,1.107461,0.001546,0.002912
358,1.108960,0.001499,-0.016021
359,1.110579,0.001619,-0.020446
360,1.112101,0.001522,-0.011023
361,1.113637,0.001536,-0.018847
362,1.115322,0.001685,-0.023836
363,1.116898,0.001576,-0.010042
364,1.118554,0.001656,-0.022160
365,1.120111,0.001557,-0.020960
366,1.121744,0.001633,-0.021900
367,1.123381,0.001637,-0.023329
368,1.124854,0.001473,-0.026801
369,1.126374,0.001520,-0.019897
370,1.127881,0.001507,-0.016851
371,1.129495,0.001614,-0.018342
372,1.130981,0.001486,-0.010688
373,1.132425,0.001444,-0.008909
374,1.134034,0.001609,-0.003541
375,1.135709,0.001675,-0.001500
376,1.137277,0.001568,0.006630
377,1.139108,0.001831,0.011906
378,1.140749,0.001641,0.023876
379,1.142453,0.001704,0.034990
380,1.144098,0.001645,0.039749
381,1.146001,0.001903,0.042730
382,1.147680,0.001679,0.045060
383,1.149307,0.001627,0.048189
384,1.150976,0.001669,0.051330
385,1.152673,0.001697,0.055776
386,1.154308,0.001635,0.058955
387,1.155872,0.001564,0.062065
388,1.157568,0.001696,0.067267
389,1.159210,0.001642,0.070223
390,1.160826,0.001616,0.079956
391,1.162453,0.001627,0.083089
392,1.164127,0.001674,0.082398
