Index,Time,Time_Diff,Output
360,1.48353,0.00212164,-0.00886971
361,1.48567,0.002133,-0.0113479
362,1.48781,0.00214844,-0.00813851
363,1.49009,0.00227764,-0.00986996
364,1.49231,0.00221482,-0.0112982
365,1.49455,0.00224699,-0.0109715
366,1.49698,0.00242549,-0.0150926
367,1.49923,0.00224995,-0.0169466
368,1.50145,0.00222136,-0.0247873
369,1.50354,0.00209068,-0.027649
370,1.50575,0.00221238,-0.0306398
371,1.50796,0.00220292,-0.0284692
372,1.5101,0.00213982,-0.026577
373,1.51227,0.00217807,-0.0260441
374,1.51448,0.00220749,-0.0234875
375,1.51661,0.00212913,-0.0247932
376,1.51884,0.00222449,-0.0217021
377,1.521,0.00216656,-0.0221097
378,1.52318,0.00217687,-0.0201243
379,1.52534,0.00216379,-0.0173048
380,1.52762,0.00227742,-0.0103708
381,1.52992,0.00230363,-0.00404821
382,1.53215,0.00222462,-0.00190457
383,1.53436,0.00221329,0.00710051
384,1.53657,0.00221173,0.0103103
385,1.53883,0.00225459,0.0136822
386,1.54107,0.00223964,0.0196105
387,1.54326,0.00219499,0.0244971
388,1.54549,0.00222644,0.0268544
389,1.54761,0.00211744,0.0199827
390,1.54981,0.00220795,0.0191292
391,1.552,0.00218767,0.0201057
392,1.55418,0.00217956,0.0170417
393,1.55653,0.00235259,0.023715
394,1.55878,0.00224306,0.032983
395,1.56095,0.00217292,0.036329
396,1.56321,0.00226494,0.0365197
397,1.56538,0.00217026,0.0482011
398,1.56746,0.00207522,0.0575099
399,1.56962,0.00215877,0.0675713
400,1.57188,0.00225866,0.076606
401,1.57402,0.00213889,0.0832065
402,1.57607,0.00204936,0.0923426
403,1.57832,0.00225299,0.104277
404,1.58045,0.00212829,0.111904
405,1.58271,0.00226361,0.115645
406,1.58495,0.00223689,0.11934
407,1.58703,0.00208442,0.126742
408,1.58921,0.00217503,0.109518
409,1.59142,0.00221349,0.108196
410,1.59356,0.00214115,0.0854762
411,1.59566,0.00209966,0.0883553
412,1.59793,0.00227286,0.0981472
413,1.6,0.00206131,0.0563983
414,1.60218,0.00218659,0.0434231
415,1.6044,0.0022195,-0.0149646
416,1.60657,0.00216641,-0.0110659
417,1.60873,0.00216562,-0.0177436
418,1.61085,0.00211653,-0.018013
419,1.61306,0.00220619,-0.00448012
420,1.61529,0.00223402,0.0173825
421,1.61744,0.00215368,0.00992586
422,1.61969,0.00224198,0.0120109
423,1.62186,0.00216938,0.0212076
424,1.62426,0.00240784,0.021709
425,1.6265,0.00223582,0.0207677
426,1.62859,0.00209157,0.023978
427,1.63078,0.00219149,0.0201958
428,1.633,0.0022157,0.0104665
429,1.63526,0.00225818,0.0219129
430,1.63758,0.00232485,0.0280389
431,1.63987,0.00228541,0.0288238
432,1.64219,0.00232142,0.034002
433,1.64451,0.00232494,0.0353472
434,1.64683,0.00232175,0.0399028
435,1.64907,0.00223858,0.0541348
436,1.65132,0.0022515,0.0530854
437,1.65365,0.00232399,0.0581146
438,1.65586,0.00221199,0.0558389
439,1.65807,0.00220857,0.0504714
440,1.66031,0.00224222,0.040208
441,1.66245,0.00213993,0.0364287
442,1.6647,0.00224511,0.0325667
443,1.66697,0.00227013,0.0263215
444,1.66915,0.00218844,0.0247666
445,1.67133,0.00217217,0.0208182
446,1.67343,0.00210708,0.017613
447,1.67563,0.00219321,0.0169752
448,1.67784,0.00221411,0.0169187
449,1.68003,0.00219184,0.0140919
450,1.68221,0.00217875,0.00500082
451,1.6846,0.00238352,0.00629105
452,1.68683,0.00223482,-0.0024713
453,1.68897,0.00213893,-0.0063676
454,1.69127,0.0022963,-0.0225032
455,1.69342,0.00215085,-0.0399973
456,1.69551,0.00208972,-0.0749497
457,1.69771,0.00220128,-0.128968
458,1.69998,0.00226812,-0.18392
459,1.70212,0.00214907,-0.413631
460,1.70449,0.0023627,-0.542
461,1.7067,0.00221224,-0.698905
462,1.70896,0.00225963,-0.831699
463,1.71121,0.00225458,-0.987301
464,1.71345,0.00224027,-1.08294
465,1.7158,0.00234106,-1.07106
466,1.71802,0.00222812,-1.11491
467,1.72016,0.00214153,-1.13761
468,1.72233,0.00216702,-1.25033
469,1.72449,0.00216247,-1.33668
470,1.72678,0.00228413,-1.40992
471,1.72902,0.00224603,-1.47728
472,1.73129,0.00226664,-1.61891
473,1.73351,0.00222009,-1.75178
474,1.73569,0.00217775,-1.75903
475,1.73816,0.00247035,-1.77615
476,1.7404,0.00223601,-1.81011
477,1.74266,0.00226514,-1.78638
478,1.74508,0.00241516,-1.67869
479,1.74732,0.00224517,-0.920892
480,1.74943,0.00211203,-1.32148
481,1.75165,0.00221849,-1.6287
482,1.75377,0.00211991,-1.51629
483,1.75611,0.00234268,-1.43679
484,1.75832,0.00220194,-1.46387
485,1.76052,0.00220567,-1.63999
486,1.76282,0.00229719,-1.67177
487,1.76496,0.00214313,-1.66832
488,1.76706,0.00209436,-1.7619
489,1.76931,0.00225324,-1.79995
490,1.77153,0.00221865,-1.78044
491,1.77369,0.002157,-1.65914
492,1.77573,0.00204665,-1.60375
493,1.77792,0.00219244,-1.50231
494,1.78014,0.00221786,-1.52549
495,1.78241,0.00226842,-1.54474
496,1.78457,0.00215686,-1.56929
497,1.78672,0.00215215,-1.73077
498,1.78893,0.00220968,-1.72998
499,1.79108,0.00215179,-1.66606
500,1.79323,0.00214893,-1.73792
501,1.79538,0.00215338,-1.70529
502,1.79749,0.00211017,-1.63422
503,1.79962,0.00212686,-1.69478
504,1.80179,0.00217033,-1.66352
505,1.80398,0.0021921,-1.6766
506,1.80618,0.00219751,-1.79937
